i,j,x
1117,17,1
1118,18,1
1119,51,1
1120,20,1
1121,31,1
1121,46,1
1121,63,1
1122,1,1
1122,20,2
1123,19,1
1124,23,1
1125,7,1
1126,9,1
1126,34,1
1127,14,1
1127,20,1
1127,26,1
1128,49,1
1129,1,1
1129,18,1
1129,20,1
1129,45,1
1129,52,1
1130,20,1
1130,23,1
1130,51,1
1131,1,1
1131,17,1
1131,18,1
1131,19,1
1132,1,1
1132,8,1
1132,18,1
1132,20,1
1132,64,1
1133,39,1
1134,21,2
1135,1,1
1135,23,1
1135,47,1
1137,7,1
1137,23,2
1138,16,1
1139,2,1
1139,20,1
1140,51,1
1141,20,1
1142,33,1
1142,46,1
1142,63,1
1143,24,1
1144,7,1
1146,23,1
1146,60,1
1147,21,4
1148,23,2
1150,7,1
1151,50,2
1152,1,1
1152,17,1
1152,18,1
1152,20,1
1153,1,1
1153,17,1
1153,18,1
1153,20,1
1154,1,1
1154,19,1
1154,49,1
1155,19,1
1156,1,1
1156,20,1
1156,22,1
1156,60,1
1157,21,4
1157,33,1
1158,22,1
1158,32,1
1159,19,1
1159,20,1
1159,41,1
1161,17,1
1161,19,1
1161,23,1
1162,35,1
1164,1,1
1164,18,1
1164,20,1
1165,33,1
1166,16,1
1166,29,1
1167,31,1
1167,38,1
1168,20,1
1169,60,1
1171,19,1
1171,38,1
1173,20,3
1173,26,1
1173,52,4
1174,19,1
1174,41,1
1174,64,1
1175,33,1
1176,6,1
1176,15,1
1178,19,1
1178,26,1
1178,52,1
1178,64,1
1179,1,1
1180,7,1
1180,23,1
1180,38,1
1181,1,1
1182,52,1
1183,19,1
1183,20,1
1183,52,1
1184,19,1
1184,24,1
1185,1,1
1185,18,1
1186,20,2
1186,64,1
1187,24,1
1189,17,1
1190,15,1
1190,17,1
1190,20,1
1190,41,1
1190,56,2
1191,7,1
1191,8,1
1191,20,3
1191,62,1
1192,35,1
1193,6,1
1193,17,1
1193,26,1
1194,19,2
1194,47,1
1195,23,1
1195,24,1
1195,64,1
1196,23,1
1196,43,1
1196,57,1
1197,19,1
1197,31,1
1198,14,1
1198,57,1
1199,19,1
1199,52,1
1200,10,1
1201,9,1
1201,26,1
1202,43,1
1202,57,1
1203,1,1
1203,18,1
1203,19,1
1204,15,1
1204,20,2
1205,7,1
1206,6,1
1206,10,1
1207,6,1
1207,10,1
1208,52,1
1209,1,1
1209,10,1
1209,18,1
1209,20,1
1209,33,1
1210,20,1
1212,1,1
1212,17,1
1212,18,1
1212,19,1
1213,7,1
1213,8,1
1213,20,3
1213,62,1
1214,7,1
1215,16,1
1217,17,1
1218,8,1
1218,21,2
1219,17,1
1220,1,1
1220,20,2
1220,26,1
1221,10,1
1221,17,1
1221,18,1
1221,20,1
1221,24,1
1222,7,1
1222,18,1
1222,20,1
1222,47,1
1222,57,1
1223,1,1
1223,17,1
1225,19,1
1225,20,1
1226,20,1
1226,22,1
1227,6,1
1227,10,1
1228,16,2
1228,33,1
1229,2,1
1229,19,1
1230,20,1
1230,24,1
1230,26,1
1231,7,1
1231,8,1
1231,19,1
1231,20,1
1231,62,1
1232,23,1
1233,19,1
1233,20,1
1233,24,1
1233,26,1
1233,31,1
1233,43,1
1234,19,1
1235,6,1
1235,10,1
