i,j,x
401,1,1
401,2,1
401,11,1
401,37,1
402,1,1
402,2,2
402,37,2
403,1,1
403,2,2
403,10,1
403,37,2
404,1,2
404,2,1
404,37,1
405,2,1
405,11,1
405,12,1
405,37,1
406,1,1
406,2,1
406,37,1
407,1,1
407,2,1
407,9,1
407,37,1
408,1,1
408,2,1
408,30,1
408,37,1
409,1,1
409,2,1
409,11,1
409,12,1
409,37,1
410,1,1
410,2,1
410,35,1
410,37,1
411,1,1
411,2,1
411,12,1
411,37,1
412,1,1
412,2,1
412,37,1
413,1,1
413,2,1
413,37,1
414,1,1
414,2,2
414,37,2
415,1,1
415,2,2
415,37,3
416,1,1
416,2,1
416,9,1
416,37,1
417,1,1
417,2,1
417,30,1
417,37,1
418,1,1
418,2,1
418,11,1
418,12,1
418,37,1
419,1,1
419,2,1
419,37,3
420,1,1
420,2,1
420,10,1
420,37,1
421,1,1
421,2,2
421,37,2
422,1,1
422,2,1
422,29,1
422,37,1
422,39,1
423,1,1
423,2,1
423,37,1
424,2,1
424,11,1
424,12,1
424,26,1
424,37,1
425,1,1
425,2,1
425,11,1
425,12,1
425,37,1
426,1,1
426,2,1
426,11,1
426,12,1
426,37,1
427,1,1
427,2,1
427,11,1
427,12,1
427,26,1
427,37,1
428,1,1
428,2,1
428,37,2
429,1,1
429,2,1
429,11,1
429,12,1
429,37,1
430,1,1
430,2,1
430,11,1
430,12,1
430,37,1
431,2,2
431,11,1
431,12,1
431,37,2
432,1,1
432,2,1
432,11,1
432,12,1
432,37,1
433,1,2
433,2,3
433,11,1
433,12,1
433,37,3
434,1,1
434,2,1
434,37,1
435,1,1
435,2,1
435,11,1
435,37,1
436,1,1
436,2,1
436,37,1
437,1,1
437,2,1
437,11,1
437,12,1
437,37,1
438,1,1
438,2,1
438,37,1
439,1,1
439,2,1
439,7,1
439,8,1
439,37,1
440,1,1
440,2,1
440,11,1
440,12,1
440,17,1
440,37,1
441,1,1
441,2,1
441,10,1
441,30,1
441,37,1
442,1,1
442,2,1
442,11,1
442,12,1
442,37,1
443,2,1
443,11,1
443,12,1
443,37,1
444,1,1
444,2,1
444,9,1
444,37,1
445,1,1
445,2,1
445,11,1
445,12,1
445,29,1
445,37,1
446,1,1
446,2,1
446,29,1
446,37,1
446,39,1
447,2,1
447,30,1
447,37,1
448,1,2
448,2,2
448,11,2
448,12,2
448,37,2
449,1,1
449,2,1
449,12,1
449,37,1
450,2,1
450,11,1
450,12,1
450,17,1
450,37,1
451,1,1
451,2,1
451,4,1
451,11,1
451,12,1
451,37,1
452,2,1
452,11,1
452,12,1
452,26,1
452,37,1
453,1,1
453,2,1
453,37,1
454,1,1
454,2,1
454,11,1
454,37,1
455,1,3
455,2,1
455,11,1
455,12,2
455,25,1
455,37,1
456,2,1
456,17,1
456,37,1
457,1,1
457,2,1
457,37,1
458,1,1
458,2,2
458,37,2
459,1,1
459,2,1
459,11,1
459,37,1
460,1,3
460,2,1
460,25,1
460,26,1
460,28,1
460,33,1
460,37,1
461,1,1
461,2,1
461,9,1
461,26,1
461,37,1
462,1,1
462,2,1
462,37,1
463,1,1
463,2,1
463,11,1
463,12,1
463,37,1
464,1,1
464,2,1
464,12,1
464,17,2
464,37,1
465,1,1
465,2,1
465,9,1
465,37,1
466,2,1
466,30,1
466,37,1
466,39,1
467,1,1
467,2,1
467,8,1
467,37,1
468,1,1
468,2,1
468,37,1
469,1,1
469,2,1
469,37,1
470,1,1
470,2,1
470,9,1
470,37,1
471,2,1
471,37,1
472,1,1
472,2,1
472,29,1
472,37,1
472,39,1
473,1,1
473,2,1
473,37,1
474,1,1
474,2,1
474,11,2
474,12,2
474,26,2
474,37,1
475,2,1
475,37,1
476,1,1
476,2,1
476,11,1
476,12,1
476,25,1
476,37,1
477,2,1
477,37,1
477,41,1
478,11,1
479,2,1
479,9,1
479,37,1
480,1,1
480,2,2
480,37,2
481,2,1
481,9,1
481,37,1
481,39,1
482,1,1
482,2,1
482,12,1
482,17,1
482,37,1
483,1,1
483,2,1
483,11,1
483,12,1
483,30,2
483,37,1
484,1,1
484,2,1
484,37,1
485,1,1
485,2,1
485,37,1
486,1,1
486,2,1
486,37,1
487,1,1
487,2,1
487,8,1
487,9,1
487,37,2
488,1,1
488,2,1
488,11,1
488,12,1
488,37,1
489,1,1
489,2,1
489,37,1
490,1,1
490,2,1
490,11,1
490,12,1
490,37,1
491,1,1
491,2,1
491,11,1
491,12,1
491,37,1
492,1,1
492,2,2
492,12,1
492,25,1
492,37,2
493,1,1
493,2,1
493,17,1
493,25,1
493,37,1
494,2,1
494,37,1
495,1,1
495,2,1
495,26,1
495,37,1
496,1,1
496,2,1
496,11,1
496,12,1
496,37,1
497,2,2
497,11,1
497,12,2
497,37,2
498,1,1
498,2,1
498,37,1
499,1,1
499,2,1
499,11,1
499,12,1
499,37,2
500,1,1
500,2,1
500,37,1
501,1,1
501,2,1
501,37,1
502,1,1
502,2,1
502,11,1
502,12,1
502,37,1
503,1,1
503,2,1
503,11,1
503,12,1
503,37,1
504,1,1
504,2,1
504,11,1
504,12,1
504,37,1
505,2,1
505,37,1
505,40,1
506,1,1
506,2,2
506,37,2
507,1,1
507,2,1
507,11,1
507,37,1
508,2,1
508,9,1
508,26,1
508,37,2
508,39,1
509,1,1
509,2,1
509,31,1
509,32,1
509,37,1
510,1,1
510,2,1
510,12,1
510,35,1
510,37,1
511,1,1
511,2,1
511,11,1
511,12,1
511,26,1
511,37,1
512,1,1
512,2,2
512,3,1
512,37,2
513,1,1
513,2,1
513,7,1
513,9,1
513,37,1
514,1,1
514,2,1
514,37,1
515,11,1
515,12,2
515,24,1
516,1,1
516,2,1
516,27,1
516,37,1
517,1,1
517,2,1
517,11,1
517,12,1
517,37,1
518,1,1
518,2,1
518,30,1
518,37,1
519,1,1
519,2,1
519,11,1
519,12,1
519,37,1
520,2,1
520,37,1
521,1,1
521,2,1
521,37,1
522,2,1
522,11,1
522,37,2
523,2,1
523,11,1
523,37,1
524,1,1
524,2,1
524,11,1
524,12,1
524,37,1
525,2,1
525,37,1
526,1,1
526,2,1
526,37,1
527,1,1
527,2,1
527,37,1
528,1,1
528,2,1
528,37,1
529,1,1
529,2,1
529,30,1
529,37,1
530,1,3
530,2,1
530,25,1
530,37,1
531,1,1
531,11,1
531,12,1
531,29,1
532,1,1
532,2,1
532,37,1
532,39,1
533,8,1
533,9,1
534,1,1
534,2,1
534,8,1
534,9,1
534,37,1
535,1,1
535,2,1
535,37,1
535,39,1
536,1,1
536,2,1
536,11,1
536,12,1
536,37,1
537,1,1
537,2,1
537,9,1
537,37,1
538,1,1
538,2,1
538,11,1
538,12,1
538,37,1
538,39,1
539,1,1
539,2,3
539,37,3
540,2,1
540,3,1
540,11,1
540,12,1
540,37,1
541,1,1
541,2,1
541,37,1
542,1,1
542,2,1
542,37,1
543,2,1
543,11,1
543,12,1
543,37,1
544,1,1
544,2,1
544,11,1
544,12,1
544,37,1
545,1,1
545,2,1
545,8,1
545,9,1
545,11,1
545,12,1
545,37,1
546,1,1
546,2,1
546,37,1
546,39,1
547,1,1
547,2,1
547,8,1
547,11,1
547,12,1
547,26,1
547,37,1
548,1,1
548,2,1
548,12,1
548,29,1
548,37,1
549,1,1
549,2,1
549,11,1
549,12,1
549,37,1
550,1,1
550,2,1
550,9,1
550,26,1
550,37,1
551,1,1
551,2,1
551,11,1
551,29,1
551,37,1
552,37,1
553,1,1
553,2,1
553,15,1
553,37,1
554,1,1
554,2,1
554,37,1
555,1,1
555,2,1
555,11,1
555,12,2
555,37,1
556,1,1
556,2,1
556,25,1
556,37,1
557,2,1
557,37,1
558,1,1
558,2,1
558,37,1
559,1,1
559,2,1
559,11,2
559,12,1
559,26,1
559,37,1
560,1,1
560,2,1
560,11,1
560,12,1
560,22,1
560,37,1
561,1,1
561,2,1
561,11,1
561,12,1
561,37,1
562,1,1
562,2,1
562,11,1
562,12,1
562,37,1
563,1,1
563,2,1
563,11,1
563,12,1
563,37,1
564,1,1
564,2,1
564,11,1
564,12,1
564,15,1
564,37,1
565,2,1
565,37,1
565,39,1
566,1,1
566,2,1
566,12,1
566,37,1
567,1,1
567,2,1
567,11,1
567,12,1
567,37,1
568,2,1
568,11,1
568,37,1
569,1,1
569,2,1
569,37,1
570,1,1
570,2,1
570,30,1
570,37,1
571,2,1
571,12,1
571,37,1
572,1,1
572,2,1
572,9,1
572,37,1
573,2,1
