i,j,x
530,20,1
530,23,1
531,65,1
532,20,1
532,21,1
532,51,1
532,60,1
534,6,1
536,20,1
538,20,1
539,19,1
539,43,1
539,57,1
540,18,1
540,20,1
543,16,1
544,1,1
544,20,2
544,26,1
544,60,1
546,22,1
546,24,1
547,4,1
547,20,2
548,1,1
548,17,1
548,19,1
548,22,1
550,23,1
551,33,1
552,23,1
553,16,1
554,1,1
554,24,1
554,64,1
555,36,1
556,22,1
556,32,1
557,22,1
558,19,1
559,21,1
561,20,1
561,32,1
562,7,1
562,9,1
562,29,1
562,51,1
563,1,1
563,20,1
563,22,1
563,32,1
563,60,1
565,6,1
565,10,1
566,1,1
567,16,1
567,21,2
567,23,1
568,1,1
568,2,1
568,18,1
569,20,2
569,43,1
569,57,1
570,1,1
570,10,1
570,40,1
571,22,1
571,32,1
572,19,1
572,20,2
573,20,1
573,23,1
574,18,1
574,19,1
574,24,1
575,23,2
576,23,1
576,43,1
576,60,1
577,6,1
577,22,1
577,26,2
577,52,1
579,19,1
579,24,1
580,19,1
580,38,1
581,19,1
581,20,1
582,36,1
583,60,1
584,19,1
585,1,1
585,17,1
585,18,1
585,19,1
586,33,1
586,46,1
586,63,1
587,1,1
587,8,1
587,18,1
587,64,1
588,35,1
589,60,1
589,61,1
590,20,1
590,65,1
592,1,1
592,18,1
592,19,1
592,20,1
593,23,1
593,60,1
595,9,1
595,19,1
595,20,1
595,23,1
596,7,1
596,8,1
596,20,3
596,62,1
598,1,1
599,52,1
600,20,1
601,1,1
601,6,1
602,16,1
603,1,1
603,18,1
603,20,1
603,31,1
606,20,1
608,21,4
609,23,1
609,27,1
610,18,1
610,20,1
611,20,1
611,51,1
612,19,1
613,13,1
613,23,1
613,33,1
613,42,1
613,57,1
614,20,1
614,23,1
614,40,1
615,19,1
616,1,1
616,9,1
617,20,1
617,23,1
617,26,1
618,1,1
618,18,1
618,19,1
618,35,1
618,44,1
619,7,1
619,8,1
619,20,2
619,62,1
620,20,2
620,23,1
621,20,1
622,6,1
622,10,1
623,1,1
623,17,1
623,20,1
623,41,1
623,55,1
624,16,1
625,20,1
625,24,1
626,23,1
627,17,1
628,8,1
628,20,1
628,51,1
629,1,1
629,20,1
629,24,1
629,26,1
629,60,1
630,7,1
630,8,1
630,20,4
630,62,1
631,1,1
631,20,1
631,21,9
631,23,1
631,33,1
632,1,1
632,12,1
632,14,1
632,52,1
632,61,1
633,15,1
634,20,1
635,20,1
638,39,1
639,1,1
640,20,1
640,59,1
641,17,1
641,64,1
642,7,2
642,8,1
642,20,4
642,62,1
643,18,1
643,20,1
643,23,2
644,18,1
647,39,1
648,1,1
648,8,1
648,20,1
648,52,1
649,19,1
650,40,1
651,14,1
651,26,1
652,20,1
652,23,1
654,6,1
654,10,1
655,33,1
655,46,1
655,63,1
656,7,1
656,60,1
657,12,1
657,14,1
659,20,1
660,1,1
660,21,1
660,23,1
661,23,1
661,26,1
662,20,1
663,20,1
664,15,1
665,20,1
668,39,1
668,43,1
669,20,1
671,1,1
671,20,1
672,16,1
673,19,1
674,11,1
674,47,1
675,9,1
675,20,1
676,23,1
677,1,1
677,15,1
677,18,1
677,20,1
677,32,1
678,20,1
678,26,1
678,61,1
679,16,1
680,7,1
681,1,1
681,19,1
681,22,1
682,20,1
682,26,1
684,20,1
685,52,1
686,20,2
686,33,1
688,20,1
689,6,1
690,7,1
690,8,1
690,20,2
690,62,1
691,26,1
692,57,1
693,7,1
693,22,1
694,12,1
694,21,1
694,23,1
694,46,1
694,63,1
695,6,1
695,17,1
696,6,1
696,19,1
697,20,1
697,23,1
698,6,1
698,10,1
699,17,1
699,44,1
701,7,1
702,20,1
